"Sub.Num"	"vanilla-2_D"	"vanilla-2_D_n"	"vanilla-2_D_sd"
"30013"	2064.4	15	819.741143811352
"30017"	1210.1	20	499.526396752596
"30024"	1576.92307692308	26	671.087351874668
"30025"	1718.18181818182	11	860.132294264297
"30030"	1655.6	15	799.433710286761
"30031"	1443.75	16	671.666732837052
"30041"	1066.72727272727	11	480.765658280433
"30048"	1555.66666666667	9	906.444565321013
"30049"	1327.77777777778	18	653.055222919935
"30050"	3267	1	NA
"30051"	1355.55555555556	9	480.566881690549
"30052"	1435.29411764706	17	753.413628485864
"30057"	1066.8	5	769.715012196072
"30069"	836.888888888889	9	683.747658943788
"30070"	1394.07142857143	28	659.910090877786
"30072"	1695.03703703704	27	904.542276151164
"30074"	668.625	16	419.899968246407
"30075"	727.411764705882	17	427.704199597036
"30076"	1761.29032258065	31	732.214185128386
"30077"	2215.70588235294	17	782.533606682956
"30078"	673.28	25	447.31388308435
