"Sub.Num"	"Condition"	"F.3000"	"F.2971"	"F.2938"	"F.2905"	"F.2872"	"F.2839"	"F.2806"	"F.2773"	"F.2740"	"F.2707"	"F.2674"	"F.2641"	"F.2608"	"F.2575"	"F.2542"	"F.2509"	"F.2476"	"F.2443"	"F.2410"	"F.2377"	"F.2344"	"F.2311"	"F.2278"	"F.2245"	"F.2212"	"F.2179"	"F.2146"	"F.2113"	"F.2080"	"F.2047"	"F.2014"	"F.1981"	"F.1948"	"F.1915"	"F.1882"	"F.1849"	"F.1816"	"F.1783"	"F.1750"	"F.1717"	"F.1684"	"F.1651"	"F.1618"	"F.1585"	"F.1552"	"F.1519"	"F.1486"	"F.1453"	"F.1420"	"F.1387"	"F.1354"	"F.1321"	"F.1288"	"F.1255"	"F.1222"	"F.1189"	"F.1156"	"F.1123"	"F.1090"	"F.1057"	"F.1024"	"F.991"	"F.958"	"F.925"	"F.892"	"F.859"	"F.826"	"F.793"	"F.760"	"F.727"	"F.694"	"F.661"	"F.628"	"F.595"	"F.562"	"F.529"	"F.496"	"F.463"	"F.430"	"F.397"	"F.364"	"F.331"	"F.298"	"F.265"	"F.232"	"F.199"	"F.166"	"F.133"	"F.100"	"F.67"	"F.33"	"0"	"33"	"67"	"100"	"133"	"167"	"200"	"233"	"267"	"300"	"333"	"367"	"400"	"433"	"467"	"500"	"533"	"567"	"600"	"633"	"667"	"700"	"733"	"767"	"800"	"833"	"867"	"900"	"933"	"967"	"1000"	"1033"	"1067"	"1100"	"1133"	"1167"	"1200"	"1233"	"1267"	"1300"	"1333"	"1367"	"1400"	"1433"	"1467"	"1500"	"1533"	"1567"	"1600"	"1633"	"1667"	"1700"	"1733"	"1767"	"1800"	"1833"	"1867"	"1900"	"1933"	"1967"	"2000"
"30053"	"pause"	0.590909090909091	0.590909090909091	0.541666666666667	0.541666666666667	0.545454545454545	0.583333333333333	0.6	0.636363636363636	0.65	0.681818181818182	0.708333333333333	0.708333333333333	0.708333333333333	0.772727272727273	0.85	0.863636363636364	0.863636363636364	0.863636363636364	0.85	0.818181818181818	0.818181818181818	0.791666666666667	0.791666666666667	0.791666666666667	0.791666666666667	0.791666666666667	0.791666666666667	0.772727272727273	0.772727272727273	0.772727272727273	0.772727272727273	0.772727272727273	0.75	0.75	0.727272727272727	0.727272727272727	0.666666666666667	0.666666666666667	0.666666666666667	0.65	0.555555555555556	0.55	0.55	0.55	0.55	0.545454545454545	0.545454545454545	0.55	0.625	0.625	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.583333333333333	0.583333333333333	0.590909090909091	0.625	0.625	0.590909090909091	0.590909090909091	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"30055"	"pause"	0.5	0.5	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.55	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.55	0.55	0.55	0.55	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.55	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.6	0.6	0.636363636363636	0.636363636363636	0.65	0.642857142857143	0.625	0.666666666666667	0.666666666666667	0.6875	0.65	0.65	0.666666666666667	0.7	0.7	0.7	0.777777777777778	0.8	0.8	0.777777777777778	0.777777777777778	0.777777777777778	0.777777777777778	0.8125	0.8125	0.833333333333333	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.772727272727273	0.75	0.75	0.75	0.722222222222222	0.65	0.65	0.636363636363636	0.6	0.590909090909091	0.65	0.6	0.6	0.590909090909091	0.590909090909091	0.590909090909091	0.6	0.636363636363636	0.636363636363636	0.636363636363636	0.611111111111111	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.65	0.65	0.65	0.681818181818182	0.681818181818182	0.681818181818182	0.65	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.65	0.65	0.65	0.65	0.65	0.65	0.636363636363636	0.636363636363636	0.636363636363636	0.6	0.6	0.6	0.6	0.6	0.6	0.611111111111111	0.545454545454545	0.545454545454545	0.5	0.4375	0.4375	0.4375	0.4375
"30066"	"pause"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5625	0.611111111111111	0.65	0.65	0.65	0.65	0.65	0.65	0.666666666666667	0.6875	0.777777777777778	0.777777777777778	0.8	0.8	0.8	0.833333333333333	0.833333333333333	0.85	0.85	0.85	0.85	0.85	0.888888888888889	0.888888888888889	0.9	0.888888888888889	0.888888888888889	0.85	0.833333333333333	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.833333333333333	0.833333333333333	0.833333333333333	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.833333333333333	0.8125	0.8125	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.8125	0.857142857142857	0.8125	0.8125	0.8125	0.785714285714286	0.785714285714286	0.785714285714286	0.75	0.75	0.75	0.75	0.75	0.75
"30069"	"pause"	0.863636363636364	0.863636363636364	0.863636363636364	0.85	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.772727272727273	0.772727272727273	0.772727272727273	0.772727272727273	0.772727272727273	0.772727272727273	0.772727272727273	0.75	0.722222222222222	0.7	0.714285714285714	0.8125	0.833333333333333	0.8	0.777777777777778	0.777777777777778	0.722222222222222	0.681818181818182	0.681818181818182	0.681818181818182	0.681818181818182	0.681818181818182	0.681818181818182	0.681818181818182	0.681818181818182	0.681818181818182	0.681818181818182	0.681818181818182	0.681818181818182	0.65	0.65	0.636363636363636	0.636363636363636	0.636363636363636	0.6	0.6	0.55	0.55	0.55	0.545454545454545	0.55	0.55	0.590909090909091	0.590909090909091	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	0.5625	0.5625	0.611111111111111	0.7	0.7	0.727272727272727	0.727272727272727	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.681818181818182	0.681818181818182	0.681818181818182	0.681818181818182	0.681818181818182	0.681818181818182	0.681818181818182	0.681818181818182	0.65	0.636363636363636	0.6	0.555555555555556	0.55	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"30070"	"pause"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.6	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.65	0.65	0.681818181818182	0.65	0.65	0.590909090909091	0.590909090909091	0.6	0.636363636363636	0.636363636363636	0.6	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.65	0.636363636363636	0.636363636363636	0.6	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.6	0.6	0.6	0.555555555555556	0.555555555555556	0.55	0.55	0.590909090909091	0.6	0.6	0.636363636363636	0.636363636363636	0.65	0.681818181818182	0.681818181818182	0.7	0.727272727272727	0.727272727272727	0.727272727272727	0.727272727272727	0.75	0.772727272727273	0.8	0.818181818181818	0.818181818181818	0.8	0.772727272727273	0.772727272727273	0.772727272727273	0.772727272727273	0.75	0.75	0.722222222222222	0.75	0.777777777777778	0.777777777777778	0.777777777777778	0.777777777777778	0.777777777777778	0.777777777777778	0.75	0.722222222222222	0.722222222222222	0.7	0.7	0.7	0.681818181818182	0.65	0.65	0.65	0.611111111111111	0.611111111111111	0.625	0.571428571428571	0.571428571428571	0.5625	0.5625
"30072"	"pause"	0.5	0.555555555555556	0.65	0.65	0.65	0.65	0.666666666666667	0.7	0.7	0.727272727272727	0.727272727272727	0.75	0.777777777777778	0.818181818181818	0.818181818181818	0.777777777777778	0.8125	0.8125	0.785714285714286	0.6875	0.65	0.65	0.611111111111111	0.6	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.65	0.666666666666667	0.7	0.7	0.722222222222222	0.75	0.777777777777778	0.777777777777778	0.777777777777778	0.777777777777778	0.75	0.75	0.772727272727273	0.772727272727273	0.75	0.75	0.75	0.75	0.75	0.727272727272727	0.727272727272727	0.727272727272727	0.727272727272727	0.727272727272727	0.727272727272727	0.727272727272727	0.727272727272727	0.727272727272727	0.727272727272727	0.727272727272727	0.727272727272727	0.727272727272727	0.727272727272727	0.722222222222222	0.722222222222222	0.722222222222222	0.6875	0.65	0.7	0.727272727272727	0.722222222222222	0.722222222222222	0.6875	0.666666666666667	0.636363636363636	0.6	0.6	0.590909090909091	0.55	0.5	0.5	0.5	0.5	0.5	0.5	0.55	0.55	0.590909090909091	0.590909090909091	0.6	0.6	0.6	0.6	0.6	0.636363636363636	0.65	0.681818181818182	0.681818181818182	0.681818181818182	0.681818181818182	0.681818181818182	0.681818181818182	0.681818181818182	0.681818181818182	0.65	0.611111111111111	0.611111111111111	0.611111111111111	0.611111111111111	0.611111111111111	0.611111111111111	0.65	0.7	0.636363636363636	0.636363636363636	0.636363636363636	0.6	0.6	0.6	0.6	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556	0.55	0.611111111111111	0.611111111111111	0.65	0.65	0.65	0.65	0.681818181818182	0.666666666666667	0.6	0.6	0.555555555555556	0.555555555555556	0.5	0.5	0.5	0.5	0.5
"30074"	"pause"	0.75	0.8	0.818181818181818	0.833333333333333	0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0.9	0.9	0.909090909090909	0.909090909090909	0.909090909090909	0.909090909090909	0.916666666666667	0.916666666666667	0.916666666666667	0.916666666666667	0.916666666666667	0.916666666666667	0.916666666666667	0.954545454545455	0.954545454545455	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	1	1	1	1	1	1	1	1	1	1	1	1	1	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.958333333333333	0.954545454545455	0.916666666666667	0.916666666666667	0.916666666666667	0.916666666666667	0.909090909090909	0.875	0.875	0.875	0.875	0.875	0.875	0.875	0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0.863636363636364	0.833333333333333	0.8	0.772727272727273	0.772727272727273	0.772727272727273	0.772727272727273	0.772727272727273	0.772727272727273	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.777777777777778	0.777777777777778	0.777777777777778	0.8125
"30075"	"pause"	0.625	0.625	0.6	0.6	0.636363636363636	0.636363636363636	0.666666666666667	0.666666666666667	0.666666666666667	0.681818181818182	0.708333333333333	0.708333333333333	0.708333333333333	0.708333333333333	0.681818181818182	0.636363636363636	0.625	0.625	0.625	0.625	0.625	0.625	0.636363636363636	0.636363636363636	0.636363636363636	0.636363636363636	0.6	0.625	0.590909090909091	0.583333333333333	0.583333333333333	0.590909090909091	0.625	0.636363636363636	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.636363636363636	0.625	0.590909090909091	0.583333333333333	0.583333333333333	0.545454545454545	0.545454545454545	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.590909090909091	0.6	0.666666666666667	0.681818181818182	0.636363636363636	0.636363636363636	0.7	0.7	0.708333333333333	0.708333333333333	0.772727272727273	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.727272727272727	0.708333333333333	0.708333333333333	0.708333333333333	0.708333333333333	0.708333333333333	0.708333333333333	0.681818181818182	0.666666666666667	0.681818181818182	0.708333333333333	0.681818181818182	0.636363636363636	0.625	0.625	0.636363636363636	0.666666666666667	0.666666666666667	0.666666666666667	0.681818181818182	0.681818181818182	0.681818181818182	0.681818181818182	0.681818181818182	0.65	0.636363636363636	0.666666666666667	0.666666666666667	0.681818181818182	0.708333333333333	0.727272727272727	0.727272727272727	0.727272727272727	0.7	0.681818181818182	0.681818181818182	0.708333333333333	0.75	0.8	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.85	0.875	0.875	0.875	0.863636363636364	0.833333333333333	0.8	0.772727272727273	0.818181818181818	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.818181818181818	0.85	0.833333333333333	0.8	0.8
"30076"	"pause"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.545454545454545	0.545454545454545	0.583333333333333	0.590909090909091	0.625	0.625	0.625	0.625	0.625	0.625	0.625	0.625	0.625	0.625	0.625	0.625	0.636363636363636	0.636363636363636	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.681818181818182	0.681818181818182	0.708333333333333	0.708333333333333	0.708333333333333	0.708333333333333	0.727272727272727	0.75	0.772727272727273	0.772727272727273	0.772727272727273	0.75	0.772727272727273	0.772727272727273	0.8	0.818181818181818	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.863636363636364	0.863636363636364	0.791666666666667	0.791666666666667	0.791666666666667	0.863636363636364	0.863636363636364	0.863636363636364	0.85	0.818181818181818	0.818181818181818	0.818181818181818	0.791666666666667	0.791666666666667	0.791666666666667	0.772727272727273	0.75	0.75	0.727272727272727	0.727272727272727	0.708333333333333	0.708333333333333	0.708333333333333	0.727272727272727	0.727272727272727	0.75	0.75	0.75	0.75	0.727272727272727	0.727272727272727	0.708333333333333	0.708333333333333	0.708333333333333	0.708333333333333	0.708333333333333	0.727272727272727	0.727272727272727	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.727272727272727	0.727272727272727	0.708333333333333	0.681818181818182	0.681818181818182	0.666666666666667	0.636363636363636	0.625	0.625	0.625	0.625	0.590909090909091	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.583333333333333	0.545454545454545	0.545454545454545	0.545454545454545	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.541666666666667	0.545454545454545	0.5	0.5	0.555555555555556	0.555555555555556
"30077"	"pause"	0.727272727272727	0.75	0.777777777777778	0.722222222222222	0.6875	0.681818181818182	0.681818181818182	0.681818181818182	0.65	0.6	0.6	0.636363636363636	0.636363636363636	0.6	0.590909090909091	0.590909090909091	0.55	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.555555555555556	0.545454545454545	0.5	0.5	0.5	0.5	0.5	0.5	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.55	0.55	0.55	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.545454545454545	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.444444444444444	0.444444444444444	0.444444444444444
"30053"	"vanilla"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.571428571428571	0.6	0.666666666666667	0.785714285714286	0.9	0.9375	0.9375	0.9375	0.9375	0.9375	0.928571428571429	0.916666666666667	0.916666666666667	0.857142857142857	0.833333333333333	0.7	0.666666666666667	0.642857142857143	0.642857142857143	0.625	0.625	0.625	0.625	0.625	0.625	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"30055"	"vanilla"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.4	0.4	0.4	0.416666666666667	0.416666666666667	0.416666666666667	0.416666666666667	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.571428571428571	0.642857142857143	0.642857142857143	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.642857142857143	0.642857142857143	0.642857142857143	0.7	0.7	0.785714285714286	0.714285714285714	0.714285714285714	0.714285714285714	0.714285714285714	0.714285714285714	0.714285714285714	0.6875	0.6875	0.6875	0.6875	0.714285714285714	0.714285714285714	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.785714285714286	0.8125	0.785714285714286
"30066"	"vanilla"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.416666666666667	0.416666666666667	0.5	0.5	0.5	0.5	0.571428571428571	0.571428571428571	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.5	0.5	0.5	0.571428571428571	0.583333333333333	0.583333333333333	0.642857142857143	0.642857142857143	0.642857142857143	0.642857142857143	0.642857142857143	0.583333333333333	0.583333333333333	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571	0.583333333333333	0.666666666666667	0.714285714285714	0.75	0.8	0.857142857142857	0.857142857142857	0.857142857142857	0.857142857142857	0.857142857142857	0.857142857142857	0.857142857142857	0.857142857142857	0.857142857142857	0.857142857142857	0.857142857142857	0.857142857142857	0.857142857142857	0.857142857142857	0.857142857142857	0.857142857142857	0.857142857142857	0.857142857142857
"30069"	"vanilla"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5625	0.5625	0.571428571428571	0.625	0.625	0.625	0.625	0.642857142857143	0.6875	0.714285714285714	0.714285714285714	0.75	0.75	0.833333333333333	0.857142857142857	0.875	0.875	0.875	0.875	0.875	0.875	0.875	0.857142857142857	0.857142857142857	0.857142857142857	0.916666666666667	0.928571428571429	0.928571428571429	0.916666666666667	0.916666666666667	0.928571428571429	0.928571428571429	0.916666666666667	0.916666666666667	0.916666666666667	0.916666666666667	0.916666666666667	0.857142857142857	0.833333333333333	0.75	0.75	0.75	0.75	0.714285714285714	0.6875	0.6875	0.6875	0.6875	0.6	0.571428571428571	0.571428571428571	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625
