"Sub.Num"	"vanilla_C-D_D"	"vanilla_C-D_D_n"	"vanilla_C-D_D_sd"	"vanilla_C-T_D"	"vanilla_C-T_D_n"	"vanilla_C-T_D_sd"
"30004"	800	1	NA	1075.47058823529	34	368.785002266379
"30005"	689	3	135.099962990372	666.645161290323	31	208.3517135978
"30006"	1567	1	NA	1126.72	25	395.716493633173
"30007"	NA	NA	NA	485.222222222222	18	163.375984827332
"30009"	800	7	311.495853369939	906.733333333333	15	399.812360751295
"30010"	1193.2	5	458.024780988977	1100.10526315789	19	324.520654151258
"30011"	1333	1	NA	1550	2	70.7106781186548
"30013"	1289	3	619.324632159904	1279.93333333333	15	368.579990672051
"30014"	1250	2	494.974746830583	1144.44444444444	9	325.798293086041
"30015"	1183.5	2	23.3345237791561	1260	5	316.614118447046
"30016"	1550	2	24.0416305603426	1208.90909090909	11	390.4150239285
"30017"	733	1	NA	990.571428571429	7	429.758791704857
"30018"	799.916666666667	12	207.452276366631	792.928571428571	14	207.634465897575
"30019"	950	4	222.078064352756	803.777777777778	18	296.095484510846
"30020"	1383.5	2	164.755880016466	1266.66666666667	6	415.61745231242
"30021"	733	1	NA	837.228571428571	35	198.649423048019
"30022"	733.5	2	94.0452018978108	792.842105263158	19	430.379194968795
"30023"	1183.5	2	683.772257407391	1222.33333333333	3	466.900774612051
"30024"	923.571428571429	7	506.812870509704	915.181818181818	11	325.862798791706
"30026"	600	2	236.173664916307	1093.81818181818	11	344.283841671903
"30027"	733	1	NA	712.233333333333	30	215.758594879481
"30028"	1250	2	70.7106781186548	1129.55555555556	9	429.221711680313
"30029"	1150.25	4	185.442488838633	1073.54166666667	24	361.606798123701
"30031"	820.2	5	265.248374170324	1037.17647058824	17	357.016497394399
"30036"	541.75	4	200.596402427029	1037.4375	16	529.500011803588
"30037"	911	3	267.678912131681	956.6	10	446.70651563539
"30038"	1200.25	4	559.722178108628	951.888888888889	9	270.511757805666
"30039"	683.333333333333	6	161.43812024013	733.4	5	243.971924614288
"30041"	1366.66666666667	3	366.500113688022	1018.18181818182	11	316.278300925567
"30042"	1000	1	NA	1219	7	233.137298603205
"30044"	NA	NA	NA	507.653846153846	26	176.425155192267
"30046"	833.333333333333	3	352.451887969597	1154.36363636364	11	470.000270792959
"30048"	833	2	141.42135623731	1106.25	16	294.17534453678
"30059"	783.5	2	23.3345237791561	687.5	32	232.365257521915
"30060"	433	1	NA	574.96875	32	146.837299554039
